BertKeyWords,YakeKeyWords,TextRankKeywords
"[""prosecution"", ""accused"", ""trump"", ""daniel"", ""sanctioning"", ""federal"", ""case"", ""cohen"", ""lawyer"", ""breach""]","[""nuclear"", ""trump"", ""sanction"", ""israeli"", ""military"", ""unit"", ""idf"", ""case"", ""poland"", ""club""]","[""u"", ""ha"", ""trump"", ""said"", ""nuclear"", ""israeli"", ""military"", ""sanction"", ""club"", ""case""]"
"[""nixon"", ""trump"", ""presidential"", ""presidency"", ""watergate"", ""president"", ""donald"", ""indictment"", ""daniel"", ""showman""]","[""trump"", ""trial"", ""charge"", ""criminal"", ""election"", ""president"", ""york"", ""federal"", ""american"", ""dont""]","[""trump"", ""trial"", ""ha"", ""said"", ""going"", ""charge"", ""election"", ""new"", ""president"", ""criminal""]"
"[""columnist"", ""journalist"", ""journalism"", ""reporter"", ""correspondent"", ""boxing"", ""wrack"", ""tennis"", ""award"", ""liews""]","[""year"", ""award"", ""won"", ""sport"", ""guardian"", ""writing"", ""liew"", ""silver"", ""prize"", ""judge""]","[""year"", ""wa"", ""award"", ""sport"", ""writing"", ""guardian"", ""correspondent"", ""prize"", ""category"", ""mail""]"
"[""abortion"", ""unconstitutional"", ""constitution"", ""conservative"", ""trump"", ""belief"", ""debate"", ""republican"", ""ruling"", ""state""]","[""abortion"", ""trump"", ""state"", ""ban"", ""issue"", ""national"", ""roe"", ""republican"", ""week"", ""wade""]","[""trump"", ""abortion"", ""state"", ""said"", ""would"", ""ban"", ""wa"", ""ha"", ""republican"", ""right""]"
"[""climate"", ""trump"", ""presidential"", ""donald"", ""risk"", ""greenhouse"", ""policy"", ""2024"", ""15c"", ""espinosa""]","[""climate"", ""trump"", ""action"", ""espinosa"", ""country"", ""paris"", ""world"", ""agreement"", ""finance"", ""strong""]","[""climate"", ""u"", ""said"", ""would"", ""trump"", ""action"", ""see"", ""espinosa"", ""country"", ""nature""]"
"[""musk"", ""trump"", ""donald"", ""billionaire"", ""ceo"", ""richest"", ""tesla"", ""biden"", ""reelection"", ""spacex""]","[""musk"", ""trump"", ""campaign"", ""biden"", ""president"", ""time"", ""billionaire"", ""republican"", ""cash"", ""report""]","[""musk"", ""trump"", ""ha"", ""campaign"", ""biden"", ""president"", ""said"", ""republican"", ""billionaire"", ""cash""]"
"[""valuation"", ""shareholder"", ""stock"", ""market"", ""investor"", ""value"", ""invest"", ""wealth"", ""investment"", ""billionaire""]","[""social"", ""truth"", ""stock"", ""trump"", ""share"", ""investor"", ""company"", ""meme"", ""valuation"", ""gamestop""]","[""social"", ""trump"", ""truth"", ""stock"", ""investor"", ""share"", ""company"", ""wa"", ""gamestop"", ""ha""]"
"[""abortion"", ""arizona"", ""arizonan"", ""harris"", ""kamala"", ""repeal"", ""statehood"", ""roe"", ""wade"", ""republican""]","[""arizona"", ""ban"", ""state"", ""abortion"", ""trump"", ""harris"", ""republican"", ""woman"", ""voter"", ""roe""]","[""ban"", ""said"", ""arizona"", ""state"", ""abortion"", ""wa"", ""trump"", ""voter"", ""harris"", ""woman""]"
"[""defendant"", ""prosecution"", ""testified"", ""courtroom"", ""testifying"", ""prosecuting"", ""judge"", ""prosecutor"", ""scrutiny"", ""trump""]","[""trump"", ""bst"", ""davidson"", ""donald"", ""cohen"", ""updated"", ""daniel"", ""order"", ""keith"", ""michael""]","[""bst"", ""trump"", ""davidson"", ""said"", ""wa"", ""updated"", ""cohen"", ""donald"", ""daniel"", ""order""]"
"[""cameron"", ""putin"", ""camerons"", ""secretary"", ""trump"", ""brexit"", ""crimea"", ""ukraine"", ""foreign"", ""nato""]","[""cameron"", ""ukraine"", ""trump"", ""foreign"", ""republican"", ""secretary"", ""congress"", ""office"", ""putin"", ""aid""]","[""ukraine"", ""cameron"", ""trump"", ""u"", ""ha"", ""foreign"", ""republican"", ""congress"", ""said"", ""would""]"
"[""cohen"", ""trump"", ""alleged"", ""tabloid"", ""indictment"", ""allegedly"", ""fraud"", ""extortionist"", ""defamation"", ""investigation""]","[""trump"", ""trial"", ""payment"", ""case"", ""prosecutor"", ""merchan"", ""cohen"", ""court"", ""year"", ""order""]","[""trump"", ""trial"", ""payment"", ""wa"", ""case"", ""prosecutor"", ""merchan"", ""cohen"", ""said"", ""pecker""]"
"[""nato"", ""berlin"", ""defence"", ""stoltenberg"", ""gdp"", ""eu"", ""donald"", ""deterrence"", ""486bn"", ""undermining""]","[""defence"", ""nato"", ""gdp"", ""trump"", ""europe"", ""ukraine"", ""stoltenberg"", ""spending"", ""time"", ""expected""]","[""defence"", ""nato"", ""said"", ""trump"", ""ha"", ""europe"", ""ukraine"", ""wa"", ""would"", ""gdp""]"
"[""kaine"", ""clintonkaine"", ""netanyahu"", ""barack"", ""palin"", ""lieberman"", ""triathlon"", ""senator"", ""canoed"", ""hiked""]","[""kaine"", ""trump"", ""virginia"", ""senator"", ""state"", ""senate"", ""people"", ""principle"", ""mile"", ""thing""]","[""wa"", ""kaine"", ""trump"", ""ha"", ""going"", ""im"", ""u"", ""mile"", ""like"", ""virginia""]"
"[""defendant"", ""court"", ""verdict"", ""prosecutor"", ""judge"", ""judgment"", ""courtappointed"", ""convicted"", ""appeal"", ""fraud""]","[""trump"", ""york"", ""trial"", ""engoron"", ""ruling"", ""financial"", ""fraud"", ""guilty"", ""jones"", ""organization""]","[""trump"", ""wa"", ""engoron"", ""new"", ""york"", ""trial"", ""ruling"", ""said"", ""financial"", ""jones""]"
"[""nato"", ""protect"", ""spending"", ""paying"", ""trump"", ""defensespending"", ""gdp"", ""deterrence"", ""25bn"", ""court""]","[""nato"", ""trump"", ""pay"", ""theyre"", ""country"", ""member"", ""united"", ""state"", ""protect"", ""bill""]","[""nato"", ""trump"", ""u"", ""said"", ""member"", ""country"", ""pay"", ""theyre"", ""nation"", ""alliance""]"
"[""defamation"", ""court"", ""judge"", ""judgment"", ""verdict"", ""testimony"", ""attorney"", ""case"", ""trump"", ""prejudicial""]","[""trump"", ""attorney"", ""court"", ""jury"", ""carroll"", ""testimony"", ""president"", ""jean"", ""case"", ""trial""]","[""trump"", ""court"", ""attorney"", ""jury"", ""wa"", ""president"", ""new"", ""carroll"", ""testimony"", ""case""]"
"[""ukraine"", ""ukrainian"", ""kyiv"", ""aid"", ""russian"", ""russia"", ""poland"", ""germanrussian"", ""moscow"", ""trump""]","[""ukraine"", ""ukrainian"", ""russian"", ""aid"", ""minister"", ""post"", ""important"", ""package"", ""social"", ""arrested""]","[""ukraine"", ""u"", ""russian"", ""ukrainian"", ""ha"", ""said"", ""post"", ""aid"", ""russia"", ""minister""]"
"[""orbn"", ""hungarian"", ""hungarianamerican"", ""orbns"", ""hungary"", ""budapest"", ""viktor"", ""budapestbased"", ""putin"", ""nato""]","[""orbn"", ""hungary"", ""hungarian"", ""conservative"", ""year"", ""trump"", ""orbns"", ""foreign"", ""relationship"", ""policy""]","[""orbn"", ""hungary"", ""u"", ""said"", ""ha"", ""conservative"", ""hungarian"", ""year"", ""trump"", ""relationship""]"
"[""daniel"", ""courtroom"", ""court"", ""testimony"", ""accusation"", ""judge"", ""witness"", ""plaintiff"", ""trump"", ""emma""]","[""trump"", ""daniel"", ""woman"", ""carroll"", ""sex"", ""week"", ""man"", ""courtroom"", ""case"", ""testimony""]","[""trump"", ""daniel"", ""wa"", ""woman"", ""carroll"", ""ha"", ""sex"", ""man"", ""week"", ""witness""]"
"[""fraud"", ""hoax"", ""trump"", ""letter"", ""donald"", ""investigation"", ""jr"", ""fbi"", ""threatening"", ""unidentified""]","[""trump"", ""white"", ""powder"", ""letter"", ""york"", ""office"", ""donald"", ""contained"", ""police"", ""unidentified""]","[""letter"", ""trump"", ""wa"", ""powder"", ""white"", ""office"", ""new"", ""york"", ""said"", ""also""]"
"[""niece"", ""mary"", ""memoir"", ""novel"", ""family"", ""donald"", ""dysfunction"", ""trump"", ""daughter"", ""grandfather""]","[""trump"", ""donald"", ""mary"", ""family"", ""book"", ""niece"", ""published"", ""memoir"", ""president"", ""york""]","[""trump"", ""family"", ""donald"", ""mary"", ""book"", ""niece"", ""president"", ""memoir"", ""never"", ""published""]"
"[""colbert"", ""trump"", ""presidency"", ""donald"", ""stephen"", ""president"", ""fascist"", ""snowflake"", ""pollster"", ""rhetoric""]","[""trump"", ""colbert"", ""meyers"", ""kimmel"", ""people"", ""campaign"", ""talk"", ""lot"", ""donald"", ""president""]","[""trump"", ""colbert"", ""say"", ""meyers"", ""said"", ""kimmel"", ""people"", ""would"", ""campaign"", ""think""]"
"[""prosecution"", ""court"", ""jury"", ""merchan"", ""judge"", ""trial"", ""immunity"", ""justice"", ""trump"", ""deadline""]","[""trump"", ""lawyer"", ""judge"", ""election"", ""case"", ""merchan"", ""immunity"", ""court"", ""april"", ""family""]","[""trump"", ""lawyer"", ""election"", ""merchan"", ""case"", ""judge"", ""immunity"", ""former"", ""court"", ""filing""]"
"[""facebook"", ""tiktok"", ""trump"", ""zuckerberg"", ""banning"", ""donald"", ""apps"", ""ban"", ""instagram"", ""ceo""]","[""tiktok"", ""facebook"", ""trump"", ""ban"", ""year"", ""lot"", ""app"", ""told"", ""banning"", ""social""]","[""tiktok"", ""trump"", ""ha"", ""facebook"", ""wa"", ""said"", ""ban"", ""year"", ""american"", ""last""]"
"[""chamberlain"", ""appeasement"", ""minister"", ""trump"", ""politician"", ""hitler"", ""championed"", ""comparison"", ""president"", ""neville""]","[""chamberlain"", ""trump"", ""neville"", ""contrast"", ""time"", ""campaign"", ""social"", ""trust"", ""legacy"", ""photograph""]","[""chamberlain"", ""wa"", ""trump"", ""neville"", ""campaign"", ""reader"", ""social"", ""trust"", ""photograph"", ""contrast""]"
"[""merger"", ""acquisition"", ""fraud"", ""trump"", ""shareholder"", ""donald"", ""buy"", ""stock"", ""wealth"", ""market""]","[""trump"", ""stock"", ""medium"", ""merger"", ""digital"", ""world"", ""share"", ""company"", ""case"", ""president""]","[""trump"", ""stock"", ""medium"", ""merger"", ""world"", ""digital"", ""share"", ""company"", ""obtain"", ""year""]"
"[""court"", ""judge"", ""lawsuit"", ""appealed"", ""judgment"", ""indictment"", ""verdict"", ""bond"", ""trump"", ""juror""]","[""trump"", ""carroll"", ""bond"", ""manhattan"", ""court"", ""civil"", ""defamation"", ""case"", ""york"", ""appeal""]","[""trump"", ""carroll"", ""bond"", ""manhattan"", ""new"", ""court"", ""adult"", ""president"", ""said"", ""civil""]"
"[""daniel"", ""prosecution"", ""defendant"", ""testified"", ""indictment"", ""jurist"", ""court"", ""alleged"", ""trump"", ""cohen""]","[""trump"", ""cohen"", ""daniel"", ""payment"", ""case"", ""key"", ""witness"", ""pecker"", ""story"", ""organization""]","[""trump"", ""wa"", ""cohen"", ""daniel"", ""payment"", ""case"", ""ha"", ""2016"", ""witness"", ""key""]"
"[""evangelical"", ""godblesstheusabiblecom"", ""endorsed"", ""evangelicals"", ""prayerful"", ""church"", ""trumpthemed"", ""christian"", ""trumplinked"", ""donald""]","[""bible"", ""trump"", ""donald"", ""god"", ""american"", ""bless"", ""usa"", ""godblesstheusabiblecom"", ""country"", ""cic""]","[""trump"", ""bible"", ""ha"", ""american"", ""donald"", ""god"", ""said"", ""country"", ""godblesstheusabiblecom"", ""bless""]"
"[""nevada"", ""caucus"", ""nomination"", ""candidate"", ""election"", ""presidential"", ""biden"", ""ballot"", ""trump"", ""republican""]","[""caucus"", ""primary"", ""election"", ""republican"", ""trump"", ""state"", ""candidate"", ""nevada"", ""voter"", ""party""]","[""primary"", ""caucus"", ""election"", ""trump"", ""republican"", ""state"", ""voter"", ""candidate"", ""wa"", ""nevada""]"
"[""juror"", ""courtroom"", ""cold"", ""defendant"", ""merchan"", ""jury"", ""sweaty"", ""temperature"", ""reporter"", ""trump""]","[""trump"", ""juror"", ""donald"", ""potential"", ""merchan"", ""courtroom"", ""court"", ""day"", ""lawyer"", ""temperature""]","[""trump"", ""wa"", ""juror"", ""said"", ""court"", ""potential"", ""day"", ""courtroom"", ""would"", ""one""]"
"[""weinstein"", ""weinsteins"", ""rapist"", ""alleged"", ""conviction"", ""accused"", ""trump"", ""harvey"", ""nominee"", ""case""]","[""court"", ""trump"", ""legal"", ""thursday"", ""trial"", ""supreme"", ""justice"", ""weinstein"", ""system"", ""york""]","[""court"", ""trump"", ""trial"", ""thursday"", ""legal"", ""one"", ""far"", ""case"", ""say"", ""woman""]"
"[""tory"", ""polling"", ""voter"", ""electoral"", ""election"", ""candidate"", ""khan"", ""voting"", ""mayor"", ""turnout""]","[""hall"", ""khan"", ""vote"", ""trump"", ""election"", ""london"", ""mayoral"", ""system"", ""susan"", ""mayor""]","[""hall"", ""could"", ""khan"", ""vote"", ""trump"", ""said"", ""ha"", ""election"", ""first"", ""mayor""]"
"[""karnowski"", ""kaczyski"", ""tusk"", ""kaczyskis"", ""poland"", ""warsaw"", ""gdansk"", ""leszek"", ""kasztanami"", ""communism""]","[""tusk"", ""poland"", ""people"", ""time"", ""sopot"", ""minister"", ""coalition"", ""country"", ""year"", ""friend""]","[""tusk"", ""said"", ""wa"", ""ha"", ""pi"", ""poland"", ""people"", ""time"", ""would"", ""sopot""]"
"[""trump"", ""donald"", ""campaign"", ""candidate"", ""presidency"", ""strategy"", ""cruz"", ""santorum"", ""run"", ""zealous""]","[""trump"", ""iowa"", ""christian"", ""republican"", ""caucus"", ""hoffer"", ""desantis"", ""evangelical"", ""movement"", ""political""]","[""trump"", ""wa"", ""iowa"", ""ha"", ""christian"", ""republican"", ""movement"", ""caucus"", ""hoffer"", ""one""]"
"[""deportation"", ""prosecution"", ""testified"", ""indictment"", ""juror"", ""detention"", ""asylum"", ""plea"", ""justice"", ""trump""]","[""trump"", ""court"", ""trial"", ""election"", ""hush"", ""money"", ""cameron"", ""immunity"", ""case"", ""time""]","[""trump"", ""ha"", ""wa"", ""court"", ""say"", ""election"", ""time"", ""trial"", ""immunity"", ""case""]"
"[""biden"", ""candidate"", ""election"", ""candidacy"", ""trumpbiden"", ""nomination"", ""voter"", ""presidential"", ""bidens"", ""voting""]","[""voter"", ""south"", ""primary"", ""carolina"", ""black"", ""state"", ""saturday"", ""campaign"", ""biden"", ""vote""]","[""voter"", ""primary"", ""black"", ""south"", ""state"", ""campaign"", ""said"", ""carolina"", ""first"", ""ha""]"
"[""abortion"", ""debate"", ""trumpappointed"", ""trump"", ""conservative"", ""ruling"", ""iowa"", ""voter"", ""ban"", ""reassure""]","[""trump"", ""election"", ""abortion"", ""republican"", ""roe"", ""wade"", ""claim"", ""country"", ""iowa"", ""poll""]","[""trump"", ""wa"", ""also"", ""like"", ""abortion"", ""republican"", ""said"", ""going"", ""election"", ""youve""]"
"[""refunding"", ""refund"", ""ticketing"", ""refunded"", ""ticket"", ""ticketbud"", ""postponed"", ""delayed"", ""denied"", ""complaint""]","[""event"", ""refund"", ""australia"", ""organiser"", ""turning"", ""point"", ""ticketing"", ""ticketbud"", ""fund"", ""trump""]","[""event"", ""refund"", ""australia"", ""ticketbud"", ""organiser"", ""turning"", ""case"", ""ticketing"", ""point"", ""jr""]"
"[""fraud"", ""testified"", ""defendant"", ""verdict"", ""defamation"", ""trump"", ""appeal"", ""judge"", ""misrepresented"", ""engoron""]","[""trump"", ""engoron"", ""decision"", ""ruling"", ""york"", ""donald"", ""worth"", ""building"", ""prosecutor"", ""organization""]","[""trump"", ""engoron"", ""wa"", ""decision"", ""new"", ""ruling"", ""worth"", ""financial"", ""york"", ""trial""]"
"[""tusk"", ""tuskled"", ""poland"", ""candidate"", ""parliamentary"", ""polish"", ""sejm"", ""coalition"", ""morawiecki"", ""populist""]","[""government"", ""tusk"", ""rule"", ""law"", ""expected"", ""minister"", ""poland"", ""party"", ""morawiecki"", ""election""]","[""government"", ""pi"", ""ha"", ""tusk"", ""new"", ""morawiecki"", ""minister"", ""party"", ""state"", ""law""]"
"[""frontman"", ""musician"", ""springsteen"", ""beatles"", ""johnnymarr"", ""johnny"", ""morrissey"", ""smith"", ""elton"", ""song""]","[""smith"", ""marr"", ""trump"", ""music"", ""rally"", ""playing"", ""year"", ""rolling"", ""stone"", ""wrote""]","[""marr"", ""smith"", ""trump"", ""ha"", ""music"", ""rally"", ""please"", ""including"", ""playing"", ""like""]"
"[""presidential"", ""sworn"", ""pledge"", ""trump"", ""coup"", ""oath"", ""biden"", ""candidate"", ""illinois"", ""2020""]","[""state"", ""trump"", ""oath"", ""republican"", ""illinois"", ""candidate"", ""united"", ""government"", ""sign"", ""ballot""]","[""trump"", ""state"", ""illinois"", ""oath"", ""candidate"", ""former"", ""republican"", ""election"", ""government"", ""sign""]"
"[""defamation"", ""lawsuit"", ""appeal"", ""assaulted"", ""accuser"", ""court"", ""accusation"", ""verdict"", ""carroll"", ""juror""]","[""trump"", ""carroll"", ""trial"", ""kaplan"", ""statement"", ""claim"", ""juror"", ""court"", ""defamation"", ""york""]","[""trump"", ""carroll"", ""said"", ""wa"", ""trial"", ""kaplan"", ""would"", ""court"", ""juror"", ""statement""]"
"[""spectre"", ""europedespising"", ""brexit"", ""trumpism"", ""europe"", ""trump"", ""paris"", ""crisis"", ""transatlantic"", ""2020""]","[""trump"", ""europe"", ""white"", ""house"", ""security"", ""time"", ""america"", ""state"", ""biden"", ""british""]","[""trump"", ""would"", ""ha"", ""wa"", ""europe"", ""may"", ""time"", ""white"", ""security"", ""uk""]"
"[""trump"", ""candidate"", ""donald"", ""biden"", ""nomination"", ""president"", ""niro"", ""actor"", ""voter"", ""acting""]","[""trump"", ""niro"", ""play"", ""live"", ""vote"", ""biden"", ""actor"", ""president"", ""total"", ""time""]","[""trump"", ""de"", ""niro"", ""play"", ""want"", ""president"", ""said"", ""actor"", ""vote"", ""biden""]"
"[""actor"", ""donald"", ""filmmaker"", ""director"", ""businessman"", ""gorilla"", ""marvel"", ""cannes"", ""thierry"", ""destino""]","[""dir"", ""film"", ""director"", ""festival"", ""cannes"", ""competition"", ""coppola"", ""arnold"", ""year"", ""american""]","[""dir"", ""film"", ""director"", ""festival"", ""le"", ""cannes"", ""competition"", ""new"", ""year"", ""play""]"
"[""wall"", ""border"", ""fence"", ""biden"", ""immigration"", ""trumplike"", ""barrier"", ""campaigning"", ""congress"", ""2024""]","[""wall"", ""border"", ""administration"", ""policy"", ""biden"", ""trump"", ""failure"", ""barrier"", ""democrat"", ""endangered""]","[""wall"", ""border"", ""administration"", ""policy"", ""barrier"", ""biden"", ""u"", ""new"", ""failure"", ""ha""]"
"[""libel"", ""libelled"", ""libelling"", ""judge"", ""carroll"", ""judgment"", ""verdict"", ""reportedly"", ""insult"", ""trump""]","[""week"", ""time"", ""eye"", ""trump"", ""carroll"", ""day"", ""money"", ""prime"", ""park"", ""donald""]","[""week"", ""eye"", ""one"", ""time"", ""trump"", ""never"", ""news"", ""carroll"", ""show"", ""monkey""]"
"[""hampshire"", ""caucus"", ""candidate"", ""candidacy"", ""election"", ""nomination"", ""voter"", ""montana"", ""haley"", ""staterun""]","[""strike"", ""morning"", ""gaza"", ""state"", ""general"", ""hampshire"", ""trump"", ""israel"", ""time"", ""city""]","[""said"", ""u"", ""ha"", ""gaza"", ""state"", ""new"", ""strike"", ""may"", ""morning"", ""climate""]"
"[""defamation"", ""lawsuit"", ""court"", ""owes"", ""bankruptcy"", ""verdict"", ""trump"", ""appeal"", ""billionaire"", ""fraud""]","[""trump"", ""appeal"", ""pay"", ""trial"", ""court"", ""carroll"", ""cash"", ""money"", ""campaign"", ""donald""]","[""trump"", ""appeal"", ""ha"", ""wa"", ""pay"", ""cash"", ""trial"", ""carroll"", ""could"", ""two""]"
"[""travelled"", ""transport"", ""bus"", ""journey"", ""labour"", ""worker"", ""novel"", ""trainee"", ""teachertraining"", ""donald""]","[""donald"", ""black"", ""book"", ""history"", ""illusion"", ""journey"", ""bus"", ""write"", ""caribbean"", ""job""]","[""wa"", ""donald"", ""black"", ""became"", ""book"", ""history"", ""work"", ""would"", ""brixton"", ""caribbean""]"
"[""claudia"", ""gazette"", ""london"", ""carnival"", ""jones"", ""veronica"", ""visited"", ""hill"", ""lived"", ""founder""]","[""claudia"", ""told"", ""live"", ""moved"", ""oval"", ""south"", ""london"", ""amazed"", ""jones"", ""west""]","[""claudia"", ""wa"", ""came"", ""told"", ""south"", ""life"", ""oval"", ""gazette"", ""founder"", ""notting""]"
"[""nato"", ""putin"", ""militaristic"", ""alliance"", ""trump"", ""invade"", ""afghanistan"", ""warns"", ""defence"", ""isolationism""]","[""trump"", ""nato"", ""putin"", ""ukraine"", ""europe"", ""doe"", ""alliance"", ""war"", ""hard"", ""pay""]","[""nato"", ""trump"", ""putin"", ""ha"", ""wa"", ""ukraine"", ""europe"", ""alliance"", ""us"", ""doe""]"
"[""racist"", ""racial"", ""racism"", ""accused"", ""race"", ""trump"", ""alleged"", ""trumplike"", ""mugshot"", ""insult""]","[""black"", ""trump"", ""turn"", ""voter"", ""people"", ""vote"", ""community"", ""biden"", ""understand"", ""racist""]","[""black"", ""trump"", ""u"", ""wa"", ""ha"", ""must"", ""uk"", ""voter"", ""community"", ""vote""]"
"[""refunded"", ""refund"", ""postponed"", ""refunding"", ""ticket"", ""cancelled"", ""ticketbud"", ""melbourne"", ""july"", ""donald""]","[""trump"", ""australia"", ""ticket"", ""refund"", ""event"", ""email"", ""contact"", ""organiser"", ""show"", ""guardian""]","[""ha"", ""said"", ""ticket"", ""trump"", ""jr"", ""email"", ""australia"", ""refund"", ""event"", ""month""]"
"[""donald"", ""briton"", ""trump"", ""american"", ""conservatism"", ""voter"", ""republican"", ""liberalism"", ""supporter"", ""columnist""]","[""trump"", ""american"", ""house"", ""enemy"", ""white"", ""eye"", ""briton"", ""world"", ""politics"", ""donald""]","[""trump"", ""american"", ""u"", ""wa"", ""enemy"", ""house"", ""world"", ""eye"", ""briton"", ""politics""]"
"[""wealth"", ""richest"", ""billionaire"", ""wealthy"", ""trump"", ""fascist"", ""antidemocracy"", ""trumpism"", ""neofascism"", ""2020""]","[""trump"", ""democracy"", ""haley"", ""wealth"", ""republican"", ""candidate"", ""neofascism"", ""moneyed"", ""interest"", ""top""]","[""trump"", ""u"", ""haley"", ""democracy"", ""ha"", ""wealth"", ""wa"", ""republican"", ""candidate"", ""neofascism""]"
"[""nuclear"", ""trident"", ""nato"", ""missile"", ""nuke"", ""ukus"", ""submarine"", ""disarmament"", ""threat"", ""britain""]","[""nuclear"", ""britain"", ""trident"", ""trump"", ""weapon"", ""deterrent"", ""technical"", ""defence"", ""war"", ""independent""]","[""nuclear"", ""uk"", ""britain"", ""trident"", ""trump"", ""u"", ""would"", ""weapon"", ""deterrent"", ""could""]"
"[""putin"", ""diplomat"", ""ukrainelaunched"", ""meeting"", ""trump"", ""ambassador"", ""minister"", ""secretary"", ""ukraine"", ""nato""]","[""russia"", ""ukraine"", ""tuesday"", ""region"", ""russian"", ""ukrainian"", ""attack"", ""bst"", ""president"", ""agency""]","[""ukraine"", ""russia"", ""said"", ""bst"", ""ha"", ""president"", ""tuesday"", ""attack"", ""wa"", ""ukrainian""]"
"[""defamation"", ""juror"", ""courtroom"", ""court"", ""testify"", ""testimony"", ""covid"", ""lawsuit"", ""jurist"", ""judge""]","[""trump"", ""trial"", ""carroll"", ""kaplan"", ""habba"", ""testimony"", ""juror"", ""court"", ""attorney"", ""covid""]","[""trump"", ""would"", ""wa"", ""trial"", ""kaplan"", ""carroll"", ""new"", ""testimony"", ""court"", ""juror""]"
"[""christmas"", ""holiday"", ""swedish"", ""santa"", ""festive"", ""mickey"", ""duck"", ""anka"", ""merry"", ""toy""]","[""christmas"", ""year"", ""eve"", ""donald"", ""duck"", ""soviet"", ""film"", ""festive"", ""bring"", ""sweden""]","[""christmas"", ""ha"", ""soviet"", ""year"", ""duck"", ""donald"", ""eve"", ""film"", ""festive"", ""bring""]"
