RakeKeyWords
"['ramping', 'movement', 'fuel', 'decided', 'saturday', 'trump', 'support', 'earned', 'primary', '26']"
"['expects', 'later', 'issued', 'devoted', 'defence', 'israel', 'iran', 'threat', 'tehran', 'uk']"
"['scum', 'villainy', 'enough', 'washington', 'saw', 'gangster', 'friday', 'meeting', 'wa', 'mystery']"
"['february', 'picked', 'eagle', 'wife', 'flashed', 'got', 'flop', 'round', 'city', 'flooded']"
"['blow', 'would', 'repeat', 'endorsement', 'president', 'vote', 'senator', 'soul', 'interview', 'going']"
"['pardoned', 'wrongdoing', 'lincoln', 'fight', 'knife', 'state', 'sentenced', 'failing', 'convince', 'court']"
"['part', 'thursday', 'given', '87yearold', 'head', 'family', 'faced', 'much', 'prison', 'convicted']"
"['wednesday', 'courted', 'union', 'supported', 'walk', 'support', 'conference', 'billionaire', 'thats', 'election']"
"['role', 'freak', 'since', 'ive', 'struggling', 'come', 'term', 'statement', 'along', 'movie']"
"['dangerous', 'ukraine', 'stand', 'contribute', 'set', 'eye', 'prospect', 'speech', 'israel', 'pas']"
"['ran', 'vicepresident', 'became', 'age', 'complication', 'statement', 'family', 'wa', 'status', 'support']"
"['deliver', 'opportunity', 'tout', 'accomplishment', 'pitch', 'prepares', 'rematch', 'address', 'congress', 'time']"
"['eaten', 'cannibal', 'met', 'mixture', 'bemusement', 'criticism', 'campaigning', 'pittsburgh', 'body', 'used']"
"['afterthought', 'mine', 'eating', 'side', 'effort', 'mark', 'occasion', 'eat', 'two', 'thing']"
"['cheat', 'buy', 'hard', 'type', 'posted', 'twitter', 'part', 'appears', 'taunting', 'legal']"
"['point', 'test', 'biden', '48', 'one', 'country', 'moving', 'runup', 'twice', 'said']"
"['mark', 'bleakness', 'seized', 'cause', 'giddiness', 'wa', 'beginning', 'toll', 'roost', 'form']"
"['knew', 'speaking', 'one', 'handful', 'england', 'hope', 'wembley', 'posting', 'people', 'london']"
"['millwall', 'charge', 'reappointed', 'replace', 'edward', 'start', 'november', 'four', '21st', 'guided']"
"['sort', 'stood', 'curb', 'affirm', 'organisation', 'cop26', 'glasgow', 'end', '22bn', 'oil']"
"['last', 'flavour', 'least', 'im', 'weve', 'mellow', 'cream', 'pepper', 'quick', 'green']"
"['david', 'making', 'point', 'hamas', 'edge', 'phrase', 'cost', 'drew', 'enforce', 'hiding']"
"['painting', 'captioned', 'account', 'made', 'mistake', 'reading', 'comment', 'wrote', 'person', 'planet']"
"['picture', 'harrowing', 'month', 'bomb', 'expert', 'united', 'calling', 'matter', 'image', 'depiction']"
"['morsel', 'snack', 'one', 'golden', 'bedazzled', 'edition', 'sickened', 'said', 'observer', 'feature']"
"['family', 'part', 'playing', 'game', 'return', 'justice', 'wednesday', 'group', 'claim', 'wale']"
"['borrow', 'word', 'realised', 'tuesday', 'wa', 'recognised', 'moment', 'realise', 'inside', 'gomez']"
"['motorcade', 'injury', 'residence', 'wilmington', 'staffer', 'stepped', 'street', 'heard', 'biden', 'run']"
"['winter', 'spring', 'house', 'lunch', 'dinner', 'made', 'around', 'enlist', 'help', 'grating']"
"['washington', 'midst', 'war', 'gaza', 'attack', 'intensified', 'potential', 'palestinian', 'killed', 'constitutes']"
"['rip', 'afterglow', 'one', 'series', '22', 'set', 'decider', 'shot', 'ire', 'surface']"
"['ending', 'war', 'america', 'unleashed', 'use', 'force', 'first', 'said', 'used', 'defend']"
"['front', 'dictaphone', 'stump', 'rajkot', 'defence', 'ledger', 'trigger', 'advantage', 'collapse', 'eight']"
"['campaign', 'state', 'rely', 'ally', 'surrogate', 'secure', 'result', 'november', 'wrote', 'name']"
"['addressing', 'country', 'thursday', 'state', 'say', 'economy', 'issue', 'instead', 'great', 'many']"
"['charge', 'filed', 'inquiry', 'mishandling', 'department', 'risk', 'come', 'leader', 'retirement', 'brain']"
"['claim', 'england', 'battle', '10', 'duel', 'point', 'costing', 'side', '17', 'showcased']"
"['swatting', 'summoning', '703am', 'spokesperson', 'district', 'residence', 'judge', 'personnel', 'reached', 'site']"
"['redux', 'describe', 'weird', 'winning', 'weekend', 'president', 'talking', 'teamster', 'hell', 'probably']"
"['excited', 'wa', 'watch', 'way', 'board', 'prepared', 'anticipation', 'found', 'rather', 'mess']"
"['cant', 'failed', 'way', 'prompted', 'promo', 'crunched', 'number', 'million', 'people', 'naturally']"
"['sweating', 'place', 'squad', 'friendly', 'brazil', 'belgium', 'month', 'plan', 'hit', 'injury']"
"['vetted', 'candidate', 'memoir', 'shot', 'killed', 'admit', 'thought', 'wa', 'play', 'testing']"
"['closing', 'continue', 'obligation', 'learn', 'lesson', 'history', 'surrender', 'future', 'horror', 'past']"
"['address', 'congress', 'expected', 'highlight', 'office', 'stake', 'scheduled', 'broadcast', 'fox', 'also']"
"['thousand', 'war', 'u', 'north', 'michigan', 'group', 'symbol', 'dissatisfaction', 'anger', 'israel']"
"['final', 'indeed', 'ended', 'blueprint', 'established', 'much', 'dreaming', 'well', 'thousand', 'wa']"
"['advice', 'dealing', 'week', 'price', 'came', 'revelation', 'biden', 'withheld', 'supply', 'part']"
"['discussed', 'turned', 'stunt', 'informative', 'got', 'point', 'load', 'shit', 'water', 'asks']"
"['america', 'come', 'war', 'converging', '45', 'figure', '75', 'number', 'israel', 'killed']"
"['deliver', 'congress', 'returned', 'cheer', 'grateful', 'survived', 'turned', 'wake', 'scored', 'ability']"
"['gaza', 'state', 'union', 'end', 'confirmed', 'mediterranean', 'coast', 'mission', 'ground', 'supply']"
"['together', 'wednesday', 'sideline', 'constructive', 'lead', 'u', 'china', 'house', 'agreement', 'speak']"
"['night', 'sort', 'broken', 'ad', 'conservatory', 'come', 'knowing', 'joe', 'enjoy', 'holiday']"
"['pursuit', 'quadruple', 'nothing', 'change', 'leaving', 'end', 'season', 'sunday', 'victory', 'player']"
"['president', 'congress', 'american', 'state', 'union', 'week', 'confirmed', 'rematch', 'prove', 'wa']"
"['would', 'vision', 'first', 'minute', 'american', 'brought', 'fight', 'shouted', 'age', 'fed']"
"['raising', 'possibility', 'end', 'israel', 'war', 'gaza', 'line', 'carnage', 'constitute', 'breakthrough']"
"['like', 'u', 'season', 'shape', 'threw', 'brother', 'case', 'productive', 'flacco', 'good']"
"['stepping', 'trump', 'week', 'announced', '2024', 'said', 'would', 'dangerous', 'opportunity', 'merely']"
"['said', '51', 'town', 'man', 'tractor', 'force', 'managed', 'stabilise', 'position', 'shortage']"
"['ukraine', '500', 'fired', 'range', 'said', 'guardian', 'afar', 'destruction', 'avdiivka', 'seizure']"
"['section', 'opposition', 'ukraine', 'score', 'congress', 'fact', 'greene', 'speaker', 'one', 'wildfire']"
"['ukraine', 'pressing', 'allow', 'extradition', 'criminal', 'accused', 'brussels', 'tuesday', 'security', 'condition']"
"['east', 'ukraine', 'attempting', 'break', 'frontline', 'city', 'avdiivka', 'expanded', 'ocheretyne', 'situation']"
"['war', 'investigation', 'compromised', 'maintains', 'reason', 'recorded', 'due', 'one', 'general', 'ukraine']"
"['roundup', 'dispute', 'crash', 'belgorod', 'wednesday', 'swapped', 'plane', 'delivered', 'moscow', 'playing']"
"['summons', 'appear', 'monday', 'could', 'ignore', 'sign', 'contempt', 'summoned', 'wanted', 'meeting']"
"['ending', 'war', 'ukraine', 'today', 'case', 'ramping', 'attack', 'airstrikes', 'ministry', 'munition']"
"['tuesday', 'aid', 'taiwan', 'send', 'signature', '18', 'day', 'advance', 'measure', 'one']"
"['deliver', 'conflict', 'set', 'dominate', 'year', 'moscow', 'telegram', 'fire', 'weakened', 'slovakia']"
"['ukraine', 'warned', 'stop', 'russia', 'war', 'tuesday', 'threat', 'travelling', 'germany', 'meet']"
"['flapping', 'cause', 'hurricane', 'side', 'world', 'conceal', 'fact', 'bought', 'silence', 'preoccupy']"
"['know', 'eurovision', 'feel', 'empathy', 'speaking', 'malm', 'morning', 'slot', 'time', 'celebrate']"
"['runup', 'moscow', 'mood', 'bar', 'blame', 'found', 'touchy', 'quick', 'anger', 'twisting']"
"['head', 'said', 'authority', 'damaging', 'attack', 'used', 'described', 'something', 'russian', 'missile']"
"['prospect', 'see', 'threat', 'guardian', 'meeting', 'saying', 'rule', 'kremlin', 'order', 'lithuania']"
"['blue', 'colour', 'project', 'made', 'period', 'followed', 'collapse', 'core', 'cycle', 'photobrussels']"
"['6pm', 'kyiv', 'summary', 'prepared', 'uk', 'basis', 'russia', 'forced', 'ukraine', 'end']"
"['country', 'afford', 'boycott', 'need', 'opportunity', 'call', 'artist', 'refuse', 'participate', 'war']"
"['ungovernable', 'known', 'getting', 'kremlin', 'ukraine', 'experience', 'marjorie', 'people', 'talked', 'impeachment']"
"['agree', 'war', 'explanation', 'tension', 'country', 'often', 'treated', 'pawn', 'either', 'us']"
"['going', 'poll', 'ukraine', 'battle', 'majority', 'officially', 'welter', 'ha', 'office', 'word']"
"['blog', 'closing', 'roundup', 'open', 'using', 'ukraine', 'budapest', 'sent', 'proposal', 'brussels']"
"['invasion', 'predicted', 'little', 'capture', 'waiting', 'ukraine', 'form', 'contain', 'fire', 'location']"
"['tuesday', 'kharkiv', 'employee', 'enemy', 'statement', 'said', 'city', 'water', 'tram', 'led']"
"['war', 'russia', 'meeting', 'around', 'world', 'davos', 'scheduled', 'address', 'country', 'chief']"
"['integrity', 'described', 'profile', 'house', 'plaudit', 'leading', 'johnson', 'done', 'guidance', 'risked']"
"['official', 'evacuation', 'targeted', 'friday', 'video', 'referred', 'head', 'kgb', 'said', 'facility']"
"['become', 'sky', 'part', 'way', 'series', 'attack', 'port', 'tuesday', 'hit', 'refinery']"
"['made', 'next', 'week', 'survivor', 'invasion', 'ukraine', 'move', 'identified', 'awarded', 'victim']"
"['ending', 'day', 'roundup', 'claim', 'yet', 'hit', 'said', 'governor', 'kursk', 'wa']"
"['ukraine', 'month', 'congress', 'wednesday', 'weapon', 'part', 'one', 'approved', 'signed', 'announce']"
"['tuesday', 'ukraine', 'taiwan', 'send', 'signature', '18', 'call', 'senate', 'seek', 'israel']"
"['ukraine', 'exists', 'men', 'left', 'eu', 'woman', 'loneliness', 'swell', 'style', 'whenever']"
"['ukrainian', 'left', 'die', 'continue', 'remark', 'day', 'would', 'provided', 'support', 'ukraine']"
"['central', 'put', 'fire', 'lviv', 'ukraine', 'sunday', 'drone', 'downed', 'moscow', 'town']"
"['half', 'used', 'handing', 'contract', 'provision', 'weapon', 'slow', 'government', 'uk', 'committed']"
"['ukraine', 'congress', 'erupted', 'conflict', 'vote', 'unlikely', 'speaker', 'house', 'month', 'stalling']"
"['aid', 'taiwan', 'tuesday', 'send', '18', 'day', 'advance', 'one', 'hour', 'need']"
"['day', 'mourning', 'victim', 'follows', 'could', 'determined', 'country', 'failing', 'part', 'wa']"
"['ukraine', 'child', 'odesa', 'damaged', 'representative', 'clarified', 'receiving', 'deployment', 'accuracy', 'far']"
"['roil', 'party', 'sunday', 'betrayed', 'democrat', 'wa', 'clear', 'motion', 'try', 'remove']"
"['shot', 'said', 'target', 'village', 'severne', 'settlement', 'orlivka', 'north', 'tonenke', 'east']"
"['debris', 'saturday', 'sparking', 'fire', 'woman', 'treated', 'hospital', 'bringing', 'control', 'friday']"
"['clear', 'part', 'russia', 'threat', 'thought', 'know', 'ukraine', 'european', '2017', 'author']"
"['thursday', 'change', 'rule', 'effort', 'force', 'legislation', 'must', 'signed', 'seen', 'crucial']"
"['permit', 'push', '60bn', 'failed', 'meeting', 'could', 'package', 'enough', 'reach', 'assailed']"
"['unusual', 'travelling', 'florida', 'visit', 'persuade', 'drop', 'opposition', 'aid', 'ukraine', 'held']"
"['fire', 'saturday', 'telegram', 'attack', 'plant', 'evacuated', 'appeared', 'closer', 'kazakhstan', 'ukraine']"
"['germany', 'supply', 'ukraine', 'defend', 'decision', 'missile', 'way', 'expanding', 'transfer', 'reference']"
"['warning', 'conflict', 'russia', 'suggested', 'might', 'necessary', 'ukraine', 'paris', 'discus', 'taken']"
"['member', 'wanted', 'u', 'country', 'joined', 'appear', 'court', 'possession', 'obstruction', 'khantymansiysk']"
"['verge', 'ukraine', 'week', 'announced', 'initiative', 'source', 'outside', 'eu', 'vital', 'june']"
"['fire', 'causing', 'ballot', 'voting', 'seeking', 'sabotage', 'vote', 'one', 'near', 'sunday']"
"['work', 'advance', 'well', 'threat', 'doe', 'house', 'take', 'issue', 'week', 'one']"
"['law', 'bill', 'taiwan', 'hailed', 'month', 'kyiv', 'fight', 'measure', 'package', 'resistance']"
"['criticised', 'courage', 'negotiate', 'end', 'war', 'russia', 'politician', 'commentator', 'anger', 'aggressor']"
"['russia', 'discharged', 'decree', 'allow', 'respite', 'engaged', 'border', 'addition', 'exempt', 'callups']"
"['draw', 'economy', 'turning', 'corner', 'million', 'cost', 'living', 'gaslighting', 'public', 'touch']"
"['back', 'presiding', 'period', 'underneath', 'increase', 'number', 'illhealth', 'need', 'take', 'february']"
"['race', 'save', 'planet', 'impeded', 'contingent', 'exploitation', 'people', 'served', 'environment', '2018']"
"['slavery', 'end', 'thrives', 'shapeshift', 'geopolitics', 'escape', 'eu', 'refugee', 'expect', 'make']"
"['post', 'minister', 'independence', 'government', 'focused', 'publishing', 'series', 'paper', 'publication', 'waste']"
"['pausing', 'heartbeat', 'england', 'treated', 'place', 'deliver', 'seat', 'includes', 'south', 'well']"
"['end', 'reuters', 'expected', 'shrink', '01', '03', 'growth', 'eurostat', '02', '08']"
"['lack', 'country', 'pushing', 'dearth', 'rent', 'average', '9', 'control', 'border', 'brexit']"
"['9', '2023', 'put', 'risk', 'investment', 'competition', 'eu', 'founded', 'overall', 'production']"
"['shock', 'economist', 'bank', 'baying', 'august', 'point', '525', 'reason', 'delay', 'found']"
"['even', 'starting', 'take', 'toll', 'bit', '4', 'number', 'total', 'time', 'rising']"
"['kind', 'society', 'want', 'simple', 'happy', 'child', 'possible', 'goal', 'world', 'life']"
"['improve', 'right', 'company', 'uber', 'saved', 'oblivion', 'legislation', 'blocked', 'group', 'could']"
"['2050', 'pound', 'environment', 'mining', 'finalising', 'agenda', 'part', 'amount', 'business', 'would']"
"['stake', 'future', 'chance', 'strength', 'ukraine', 'war', 'russia', 'israel', 'hamas', 'fate']"
"['people', 'china', 'unhappy', 'economy', 'vent', 'frustration', 'update', 'post', 'help', 'ive']"
"['wrap', 'blow', 'sunak', 'moving', 'end', 'improving', 'lack', 'country', 'pushing', 'dearth']"
"['03', 'october', 'household', 'cost', 'chance', 'recession', 'office', 'month', 'growth', '02']"
"['flood', 'refugee', 'soil', 'figure', 'stark', 'fifth', 'population', 'plunged', 'lost', 'war']"
"['tackle', 'state', 'growth', 'impact', 'slow', '24', 'year', '27', 'planet', 'response']"
"['led', 'charge', 'million', 'dollar', 'tax', 'sector', 'cost', 'guardian', 'wage', 'knocked']"
"['congratulation', 'order', 'make', 'year', 'one', 'content', 'inspiring', 'branch', 'singer', 'show']"
"['road', 'recovery', 'january', 'uk', 'track', 'emerge', 'isnt', 'say', 'economy', 'renaissance']"
"['indication', 'boost', 'wednesday', 'economy', 'hit', 'sign', 'starting', 'agree', 'president', 'trump']"
"['strongest', 'world', 'say', 'state', 'coauthor', 'plan', 'reshape', 'right', 'true', 'question']"
"['would', 'week', 'drive', 'tow', 'lectern', 'poll', 'month', 'conservative', 'heading', 'hasnt']"
"['growth', 'november', 'recovery', 'bargain', '03', 'month', 'decline', 'office', 'forecast', 'economy']"
"['must', 'willing', 'thing', 'statement', 'far', 'need', 'made', 'like', 'reluctant', 'make']"
"['may', 'little', 'late', 'sign', 'turn', 'drift', 'recovery', 'economy', 'emerging', 'short']"
"['wave', 'disinformation', 'body', 'convenes', 'disrupted', 'spread', 'crackdown', 'dissent', 'government', 'canvass']"
"['28bn', 'year', 'scale', 'uk', 'result', 'siemens', 'rebuild', 'make', 'fit', 'future']"
